,IEC_Cont_101,IEC_Cont_102,IEC_Cont_103,IEC_IL10KO_3,IEC_IL10KO_6,IEC_IL10KO_14,IEC_IL10KOZn_19,IEC_IL10KOZn_31
0610005C13Rik,121.961702474192,208.632167076349,146.682493800461,123.545123387739,204.231549559777,98.0720290586057,87.8024500730585,120.251471035875
0610006L08Rik,0,0,0,0,0,0,0,0
0610009B22Rik,5.3358244832459,14.8614694355755,9.10443064968378,12.243210425812,4.95106786811581,9.03295004487157,14.8237902720748,5.77207060972198
0610009E02Rik,2.2867819213911,5.1443548046223,4.04641362208168,6.67811477771564,7.42660180217371,7.74252860988992,2.28058311878074,0
0610009L18Rik,5.3358244832459,4.00116484803957,2.02320681104084,2.22603825923855,7.42660180217371,3.87126430494496,4.56116623756148,0.962011768286997
0610010F05Rik,18.2942553711288,9.71711463095324,18.2088612993676,4.45207651847709,12.3776696702895,21.9371643946881,20.5252480690267,19.2402353657399
0610010K14Rik,18.2942553711288,12.0034945441187,7.08122383864294,7.79113390733492,18.5665045054343,23.2275858296698,2.28058311878074,8.65810591458298
0610012G03Rik,84.6109310914707,77.7369170476259,68.7890315753885,100.171721665735,87.8814546590555,58.0689645741744,92.3636163106199,74.0749061580988
0610025J13Rik,0,0,0,0,0,0,0,0
0610030E20Rik,128.822048238365,133.75322492018,117.345995040369,101.284740795354,128.727764571011,167.754786547615,114.029155939037,125.06152987731
0610031O16Rik,0,0,0,0,0,0,0,0
0610038B21Rik,0,0,0,0,0,0,0,0
0610039H22Rik,0,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,0,0,0
0610040B10Rik,1.5245212809274,0.571594978291367,3.03481021656126,2.22603825923855,2.4755339340579,0,0,0
0610040F04Rik,0,0,0,0,0,0,2.28058311878074,0
0610040J01Rik,189.802899475461,274.365589579856,186.135026615757,257.107418942052,344.099216834048,178.078158027468,252.004434625272,129.871588718745
0610042G04Rik,0,0,0,0,0,0,0,0
0610043K17Rik,0,0,0,0,0,0,0,1.92402353657399
1100001I12Rik,0,0,0,0,0,0,0,0
1110002E22Rik,0,0,0,0,0,0,0,0
1110002J07Rik,1.5245212809274,0.571594978291367,4.04641362208168,3.33905738885782,0,0,0,8.65810591458298
1110002L01Rik,6.0980851237096,11.4318995658273,17.1972578938471,3.33905738885782,3.71330090108685,7.74252860988992,6.84174935634222,5.77207060972198
1110002O04Rik,0,0,0,0,0,0,0,0
1110004F10Rik,102.905186462599,56.5879028508453,101.160340552042,153.59663988746,138.629900307243,211.629115336991,91.2233247512296,163.54200060879
1110006O24Rik,1.5245212809274,1.14318995658273,1.01160340552042,2.22603825923855,0,0,0,1.92402353657399
1110008P14Rik,26.6791224162295,46.8707882198921,16.1856544883267,23.3734017220048,12.3776696702895,32.2605358745413,18.2446649502459,36.5564471949059
1110015O18Rik,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,0,0,0,0,0,0
1110018N20Rik,9.9093883260281,2.28637991316547,7.08122383864294,4.45207651847709,6.18883483514476,0,2.28058311878074,1.92402353657399
1110019D14Rik,6.0980851237096,2.28637991316547,2.02320681104084,1.11301912961927,0,0,2.28058311878074,2.88603530486099
1110020A21Rik,8.3848670451007,7.43073471778777,2.02320681104084,1.11301912961927,7.42660180217371,0,7.98204091573259,1.92402353657399
1110025L11Rik,0,0,0,0,0,0,0,0
